source,target,group
Protesters (Angola),Police Forces of Angola (1975-),1
FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,Military Forces of Angola (1975-),2
MPLA: Popular Movement for the Liberation of Angola,UNITA: National Union for the Total Independence of Angola,3
Police Forces of Angola (1975-),Civilians (Angola),1
Military Forces of Angola (1975-),Militia (Kamwina Nsapu),4
Protesters (Angola),Prison Guards (Angola),9
MPLA: Popular Movement for the Liberation of Angola,Civilians (Angola),1
Military Forces of Angola (1975-),Unidentified Armed Group (Democratic Republic of Congo),1
FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,Police Forces of Angola (1975-),3
Rioters (Angola),Civilians (Angola),4
Rioters (Angola),Police Forces of Angola (1975-),8
Police Forces of Angola (1975-),Protesters (Angola),4
Police Forces of Benin (2016-),Protesters (Benin),5
Christian Militia (Benin),Unidentified Ethnic Militia (Benin),2
Protesters (Benin),Police Forces of Benin (2016-),1
Fulani Ethnic Militia (Nigeria),Ketou Communal Militia (Benin),1
Malanville Communal Militia (Benin),Unidentified Communal Militia (Nigeria),1
Rioters (Benin),Police Forces of Benin (2016-),1
Fulani Ethnic Militia (Benin),Civilians (Benin),1
Rioters (Burkina Faso),Prison Guards (Burkina Faso),2
Police Forces of Burkina Faso (1987-2014),Civilians (Burkina Faso),1
Rioters (Burkina Faso),Police Forces of Burkina Faso (1987-2014),1
Rioters (Burkina Faso),Military Forces of Burkina Faso (1987-2014),5
Rioters (Burkina Faso),Police Forces of Burkina Faso (1987-2014) Gendarmerie,1
Rioters (Burkina Faso),Rioters (Burkina Faso),1
Bombore Communal Militia (Burkina Faso),Fulani Ethnic Militia (Burkina Faso),4
Protesters (Burkina Faso),Police Forces of Burkina Faso (1987-2014),3
Kantchari Communal Militia (Burkina Faso),Civilians (Burkina Faso),4
Rioters (Burkina Faso),Civilians (Burkina Faso),2
Vigilante Militia (Burkina Faso),Civilians (Burkina Faso),2
Rioters (Burkina Faso),Police Forces of Burkina Faso (2015-),1
Ansaroul Islam,Civilians (Burkina Faso),1
Islamist Militia (Burkina Faso),Koglweogo Militia,2
Military Forces of Burkina Faso (2014-),Civilians (Burkina Faso),1
Police Forces of Burkina Faso (2015-) Gendarmerie,Civilians (Burkina Faso),1
Islamist Militia (Burkina Faso),Civilians (Burkina Faso),1
Unidentified Armed Group (Burkina Faso),Civilians (Burkina Faso),2
Protesters (Burkina Faso),Police Forces of Burkina Faso (2015-),1
Ansaroul Islam,Police Forces of Burkina Faso (2015-),1
Unidentified Armed Group (Burkina Faso),Koglweogo Militia,5
Police Forces of Burkina Faso (2015-) Gendarmerie,Unidentified Armed Group (Burkina Faso),1
Military Forces of Burkina Faso (2015-),Unidentified Armed Group (Burkina Faso),1
Military Forces of Burkina Faso (2015-),Ansaroul Islam,1
Islamist Militia (Burkina Faso),Military Forces of France,2
Military Forces of Burkina Faso (2015-),Civilians (Burkina Faso),5
Unidentified Armed Group (Burkina),Civilians (Burkina Faso),1
Vigilante Militia (Burkina Faso),Koglweogo Militia,5
Koglweogo Militia,Civilians (Burkina Faso),1
Dabre Clan Militia (Burkina Faso),Zampaligre Clan Militia (Burkina Faso),2
Moba Ethnic Militia (Burkina Faso),Yana Ethnic Militia (Burkina Faso),1
Police Forces of Burkina Faso (2015-),Ansaroul Islam,1
Unidentified Armed Group (Mali),Civilians (Burkina Faso),5
Islamist Militia (Mali),Police Forces of Burkina Faso (2015-),4
Unidentified Armed Group (Burkina Faso),Ansaroul Islam,2
Unidentified Armed Group (Burundi),Civilians (Burundi),5
CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Civilians (Burundi),1
Police Forces of Burundi (2005-),Civilians (Burundi),2
CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,Civilians (Burundi),1
Vigilante Militia (Burundi),Civilians (Burundi),12
Police Forces of Burundi (2005-) National Intelligence Service,Civilians (Burundi),4
Military Forces of Burundi (2005-),Civilians (Burundi),31
Unidentified Armed Group (Burundi),Military Forces of Burundi (2005-),11
CNDD: National Council for Democracy and Development,Civilians (Burundi),2
Government of Burundi (2005-),Civilians (Burundi),1
Rioters (Burundi),Police Forces of Burundi (2005-),1
Rioters (Burundi),Civilians (Burundi),28
Military Forces of Burundi (2005-) National Intelligence Agency,Civilians (Burundi),1
Rioters (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),17
Protesters (Burundi),Police Forces of Burundi (2005-),22
Unidentified Armed Group (Burundi),Police Forces of Burundi (2005-),41
FNL: National Forces of Liberation,Military Forces of Burundi (2005-),20
CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Civilians (Rwanda),15
Government of Burundi (2005-),MSD: Movement for Solidarity and Democracy,1
Military Forces of Burundi (2005-),FNL: National Forces of Liberation,53
CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Military Forces of Burundi (2005-),1
Unidentified Armed Group (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),12
Police Forces of Burundi (2005-),Police Forces of Burundi (2005-),39
Military Forces of Burundi (2005-) National Intelligence Agency,FNL-R: National Forces of Liberation (Rwasa Faction),2
CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),8
Military Forces of Rwanda (1994-),Civilians (Burundi),19
Rioters (Burundi),Rioters (Burundi),21
Police Forces of Burundi (2005-),Unidentified Armed Group (Burundi),2
Military Forces of Burundi (2005-),Military Forces of Burundi (2005-),12
Military Forces of Cameroon (1982-) Rapid Intervention Battalion,Boko Haram - Wilayat Gharb Ifriqiyyah,5
Vigilante Militia (Cameroon),Boko Haram - Wilayat Gharb Ifriqiyyah,1
Military Forces of Cameroon (1982-),Boko Haram - Wilayat Gharb Ifriqiyyah,1
Rioters (Cameroon),Police Forces of Cameroon (1982-),2
Boko Haram - Wilayat Gharb Ifriqiyyah,Civilians (Cameroon),1
Government of Cameroon (1982-),SCNC: Southern Cameroons National Council,3
Boko Haram - Wilayat Gharb Ifriqiyyah,Military Forces of Cameroon (1982-),5
Boko Haram - Wilayat Gharb Ifriqiyyah,Police Forces of Cameroon (1982-),14
Boko Haram - Wilayat Gharb Ifriqiyyah,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,3
Achigachia Communal Militia (Cameroon),Boko Haram - Wilayat Gharb Ifriqiyyah,1
Boko Haram - Wilayat Gharb Ifriqiyyah,Vigilante Militia (Cameroon),5
Unidentified Armed Group (Cameroon),Civilians (Cameroon),12
Rioters (Cameroon),Rioters (Cameroon),7
Unidentified Armed Group (Cameroon),Military Forces of Cameroon (1982-),1
Unidentified Armed Group (Cameroon),Civilians (Nigeria),1
Boko Haram - Wilayat Gharb Ifriqiyyah,Afade Communal Militia (Cameroon),6
Military Forces of Cameroon (1982-) Rapid Intervention Battalion,Civilians (Cameroon),10
UPC: Union for Peace in the Central African Republic,FPRC: Popular Front for the Renaissance of Central Africa,6
UPC: Union for Peace in the Central African Republic,Civilians (Central African Republic),1
FPRC: Popular Front for the Renaissance of Central Africa,UPC: Union for Peace in the Central African Republic,3
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Unidentified Armed Group (Central African Republic),2
Anti-Balaka,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1
"RRR: Return, Reclamation and Rehabilitation",Anti-Balaka,1
MPC: Patriotic Movement for Central African Republic,Civilians (Central African Republic),1
Vigilante Militia (Central African Republic),Civilians (Central African Republic),1
Anti-Balaka,Civilians (Central African Republic),5
LRA: Lords Resistance Army,Civilians (Central African Republic),1
LRA: Lords Resistance Army,Military Forces of Uganda (1986-),1
UPC: Union for Peace in the Central African Republic,Anti-Balaka,9
"RRR: Return, Reclamation and Rehabilitation",Civilians (Central African Republic),1
"RRR: Return, Reclamation and Rehabilitation",MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),2
PK5 Communal Militia (Central African Republic),Civilians (Central African Republic),8
PK5 Communal Militia (Central African Republic),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1
Fulani Ethnic Militia (Central African Republic),Civilians (Central African Republic),2
FDPC: Democratic Front for the People of the Central African Republic,Fulani Ethnic Militia (Central African Republic),1
Seleka Militia,Civilians (Central African Republic),2
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),FPRC: Popular Front for the Renaissance of Central Africa,1
Unidentified Armed Group (Chad),FPRC: Popular Front for the Renaissance of Central Africa,1
FPRC: Popular Front for the Renaissance of Central Africa,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),4
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Anti-Balaka,10
Unidentified Armed Group (Central African Republic),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1
Unidentified Armed Group (Central African Republic),Civilians (Central African Republic),2
Anti-Balaka,Seleka Militia,3
FPRC: Popular Front for the Renaissance of Central Africa,Civilians (Central African Republic),1
Anti-Balaka,UPC: Union for Peace in the Central African Republic,6
Rioters (Central African Republic),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),14
Unidentified Armed Group (Central African Republic),KM5 Communal Militia (Central African Republic),2
Unidentified Armed Group (Chad),Civilians (Central African Republic),3
UPC: Union for Peace in the Central African Republic,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),2
Government of Cameroon (1982-),Government of Central African Republic (2016-),2
Fulani Ethnic Militia (Central African Republic),Vigilante Militia (Central African Republic),3
LRA: Lords Resistance Army,Vigilante Militia (Central African Republic),2
Unidentified Armed Group (Central African Republic),Unidentified Armed Group (Central African Republic),1
FPRC: Popular Front for the Renaissance of Central Africa,Anti-Balaka,4
Vigilante Militia (Central African Republic),Civilians (Chad),17
MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),Civilians (Central African Republic),6
Unidentified Armed Group (Central African Republic),UPC: Union for Peace in the Central African Republic,3
Anti-Balaka,Civilians (Chad),3
LRA: Lords Resistance Army,Anti-Balaka,8
FPRC: Popular Front for the Renaissance of Central Africa,Goula Ethnic Militia (Central African Republic),1
Unidentified Armed Group (Central African Republic),Civilians (International),8
Anti-Balaka,FPRC: Popular Front for the Renaissance of Central Africa,8
FPRC: Popular Front for the Renaissance of Central Africa,FPRC: Popular Front for the Renaissance of Central Africa,7
Fulani Ethnic Militia (Central African Republic),Military Forces of Central African Republic (2016-),6
Anti-Balaka,Unidentified Armed Group (Central African Republic),17
Fere Communal Militia (Central African Republic),Fulani Ethnic Militia (Central African Republic),3
LRA: Lords Resistance Army,Ouanja Communal Militia (Central African Republic),6
Mongo Communal Militia (Chad),Protesters (Chad),5
Rioters (Chad),Police Forces of Chad (1990-),1
Gore Communal Militia (Chad),Gore Communal Militia (Chad),1
Unidentified Armed Group (Chad),Civilians (Chad),1
Unidentified Armed Group (Chad),Civilians (International),1
Protesters (Chad),Police Forces of Chad (1990-),1
Military Forces of Chad (1990-),Military Forces of Chad (1990-),1
Boko Haram - Wilayat Gharb Ifriqiyyah,Military Forces of Chad (1990-),1
Zaghawa Ethnic Militia (Chad),Civilians (Chad),2
Police Forces of Chad (1990-),Civilians (Chad),4
Militia (Kamwina Nsapu),Police Forces of Democratic Republic of Congo (2001-),1
Militia (Kamwina Nsapu),Civilians (Democratic Republic of Congo),1
APCLS: Alliance of Patriots for a Free and Sovereign Congo,Civilians (Democratic Republic of Congo),2
Militia (Kamwina Nsapu),Military Forces of Democratic Republic of Congo (2001-),7
Military Forces of Democratic Republic of Congo (2001-),Civilians (Democratic Republic of Congo),4
LRA: Lords Resistance Army,Civilians (Democratic Republic of Congo),5
FRPI: Front for Patriotic Resistance of Ituri,Civilians (Democratic Republic of Congo),1
Mayi Mayi Militia (Yakutumba),Military Forces of Democratic Republic of Congo (2001-),1
Unidentified Armed Group (Democratic Republic of Congo),Police Forces of Democratic Republic of Congo (2001-),2
Unidentified Armed Group (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Mbororo Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Rioters (Democratic Republic of Congo),Police Forces of Democratic Republic of Congo (2001-),2
Batwa Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Police Forces of Democratic Republic of Congo (2001-),Civilians (Democratic Republic of Congo),2
Protesters (Democratic Republic of Congo),Police Forces of Democratic Republic of Congo (2001-),2
Unidentified Armed Group (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),2
Mwanza Communal Militia (Democratic Republic of Congo),Dibaya Communal Militia (Democratic Republic of Congo),1
Vigilante Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Military Forces of Democratic Republic of Congo (2001-),LRA: Lords Resistance Army,3
Otso Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Military Forces of Democratic Republic of Congo (2001-),Militia (Kamwina Nsapu),1
Military Forces of Democratic Republic of Congo (2001-),FRPI: Front for Patriotic Resistance of Ituri,4
ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,Civilians (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia,2
M23: March 23 Movement,Military Forces of Democratic Republic of Congo (2001-),1
NDC-G: Nduma Defence of Congo (Guidon),Civilians (Democratic Republic of Congo),7
LRA: Lords Resistance Army,Military Forces of Democratic Republic of Congo (2001-),1
Batwa Ethnic Militia (Democratic Republic of Congo),Bantu Ethnic Militia (Democratic Republic of Congo),1
Mayi Mayi Militia (Simba),Civilians (Democratic Republic of Congo),2
Police Forces of Democratic Republic of Congo (2001-),BDK: Bunda Dia Kongo,2
Mayi Mayi Militia,Military Forces of Democratic Republic of Congo (2001-),1
FDLR: Democratic Forces for the Liberation of Rwanda,Civilians (Democratic Republic of Congo),1
Mayi Mayi Militia (Gumino),Mayi Mayi Militia,4
Military Forces of Democratic Republic of Congo (2001-),M23: March 23 Movement,1
Police Forces of Democratic Republic of Congo (2001-),Protesters (Democratic Republic of Congo),5
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Raia Mutomboki-Koko Di Koko),2
Mayi Mayi Militia (Mazembe),Civilians (Democratic Republic of Congo),5
Unidentified Ethnic Militia (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),4
Mayi Mayi Militia (Nyatura),Civilians (Democratic Republic of Congo),1
Police Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Body of Christ),6
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Kirikicho),9
Rioters (Democratic Republic of Congo),Prison Guards (Democratic Republic of Congo),1
FRPI: Front for Patriotic Resistance of Ituri,Military Forces of Democratic Republic of Congo (2001-),4
Mayi Mayi Militia (Raia Mutomboki-Maheshe),Civilians (Democratic Republic of Congo),2
Mayi Mayi Militia (Raia Mutomboki-Maheshe),Mayi Mayi Militia (Raia Mutomboki-Ndarumanga),7
Mayi Mayi Militia (Mazembe),Military Forces of Democratic Republic of Congo (2001-),8
Bantu Ethnic Militia (Democratic Republic of Congo),Batwa Ethnic Militia (Democratic Republic of Congo),13
Mayi Mayi Militia (Raia Mutomboki),Civilians (Democratic Republic of Congo),5
Unidentified Armed Group (Democratic Republic of Congo),MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),13
Bangubangu Ethnic Militia (Democratic Republic of Congo),Civilians (International),3
Military Forces of Angola (1975-),Civilians (Democratic Republic of Congo),1
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Simba),7
Unidentified Armed Group (Democratic Republic of Congo),Civilians (International),6
FDLR: Democratic Forces for the Liberation of Rwanda,MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),3
Prison Guards (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),4
Ifiti Communal Militia (Democratic Republic of Congo),Bolambi Communal Militia (Democratic Republic of Congo),3
Lodjo Communal Militia (Democratic Republic of Congo),Tchuru Communal Militia (Democratic Republic of Congo),2
Military Forces of Democratic Republic of Congo (2001-),Unidentified Armed Group (Democratic Republic of Congo),6
APCLS: Alliance of Patriots for a Free and Sovereign Congo,FDC: Forces for Congolese Defence,10
Unidentified Armed Group (Burundi),Civilians (Democratic Republic of Congo),2
Mayi Mayi Militia,Civilians (Democratic Republic of Congo),6
Military Forces of Democratic Republic of Congo (2001-),NDC-R: Nduma Defence of Congo (Renewal),2
Hutu Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),11
Nande Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Nyatura-FDLR Coalition: Nyatura -Democratic Forces for the Liberation of Rwanda,Civilians (Democratic Republic of Congo),1
Military Forces of Democratic Republic of Congo (2001-),Rioters (Democratic Republic of Congo),2
Militia (Kamwina Nsapu),Government of Democratic Republic of Congo (2001-),5
Mayi Mayi Militia (Kifuafua),Civilians (Democratic Republic of Congo),13
Mayi Mayi Militia,Mayi Mayi Militia,3
Chokwe Communal Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),10
SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Civilians (International),3
Pende Communal Militia (Democratic Republic of Congo),Lulua Ethnic Militia (Democratic Republic of Congo),2
NDC-R: Nduma Defence of Congo (Renewal),Civilians (Democratic Republic of Congo),5
Bana Mura,Civilians (Democratic Republic of Congo),7
Police Forces of Democratic Republic of Congo (2001-) Garamba National Park,Unidentified Armed Group (Democratic Republic of Congo),1
Military Forces of South Sudan (2011-),Civilians (Democratic Republic of Congo),1
Mayi Mayi Militia (Nyatura),CNRD: National Council for Renewal and Democracy,1
Mayi Mayi Militia (Charles),Civilians (Democratic Republic of Congo),2
Akara Communal Militia (Democratic Republic of Congo),Yimbu Communal Militia (Democratic Republic of Congo),1
Irivo Communal Militia (Democratic Republic of Congo),Kamaka Communal Militia (Democratic Republic of Congo),2
Jupafoyo Communal Militia (Democratic Republic of Congo),Jupanyar Unore Communal Militia (Democratic Republic of Congo),6
FOREBU: Republican Forces of Burundi,Civilians (Democratic Republic of Congo),4
Lendu Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),1
Hema Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),2
Nyatura-FDLR Coalition: Nyatura -Democratic Forces for the Liberation of Rwanda,Military Forces of Democratic Republic of Congo (2001-),6
Police Forces of Democratic Republic of Congo (2001-),UPDS: Union for Democracy and Social Progress,10
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Nyatura),5
Mayi Mayi Militia (Mazembe),Police Forces of Democratic Republic of Congo (2001-),2
BDK: Bunda Dia Kongo,Prison Guards (Democratic Republic of Congo),3
CNRD: National Council for Renewal and Democracy,Mayi Mayi Militia (Nyatura) Kasongo Faction,2
ADF: Allied Democratic Forces,Civilians (Democratic Republic of Congo),2
LRA: Lords Resistance Army,Unidentified Armed Group (Democratic Republic of Congo),6
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Kalakala),12
Mayi Mayi Militia (Gumino),Mayi Mayi Militia (Fuliiru),5
Mayi Mayi Militia (Yakutumba),Civilians (Democratic Republic of Congo),14
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Yakutumba),1
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Mazembe),1
Military Forces of Democratic Republic of Congo (2001-),ADF: Allied Democratic Forces,9
Police Forces of Democratic Republic of Congo (2001-),Unidentified Armed Group (Democratic Republic of Congo),1
Mayi Mayi Militia (Raia Mutomboki-Butachibera),Civilians (Democratic Republic of Congo),6
Mayi Mayi Militia (Charles),Military Forces of Democratic Republic of Congo (2001-),1
Mayi Mayi Militia (Raia Mutomboki-Lukoba),Military Forces of Democratic Republic of Congo (2001-),3
Luba Ethnic Militia (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),11
Police Forces of Democratic Republic of Congo (2001-),UNAFEC: Union of Nationalist Federalists of Congo Party,2
BDK: Bunda Dia Kongo,Police Forces of Democratic Republic of Congo (2001-),2
Unidentified Armed Group (Democratic Republic of Congo),Prison Guards (Democratic Republic of Congo),3
MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),Militia (Kamwina Nsapu),14
LRA: Lords Resistance Army,Vigilante Militia (Democratic Republic of Congo),8
Rioters (Democratic Republic of Congo),Civilians (Democratic Republic of Congo),4
Military Forces of Democratic Republic of Congo (2001-),Mayi Mayi Militia (Fuliiru),3
Mayi Mayi Militia (Kakule),Military Forces of Democratic Republic of Congo (2001-),17
CNPSC: National Coalition of the People for Congo's Sovereignty,Military Forces of Democratic Republic of Congo (2001-),5
Mayi Mayi Militia,Police Forces of Democratic Republic of Congo (2001-),12
Military Forces of Democratic Republic of Congo (2001-),APCLS: Alliance of Patriots for a Free and Sovereign Congo,3
Military Forces of Democratic Republic of Congo (2001-),FNL: National Forces of Liberation,1
ADF: Allied Democratic Forces,Military Forces of Democratic Republic of Congo (2001-),3
Mayi Mayi Militia (Mazembe),NDC-R: Nduma Defence of Congo (Renewal),6
Nyatura-APCLS Coalition: Nyatura-Alliance of Patriots for a Free and Sovereign Congo,Military Forces of Democratic Republic of Congo (2001-),5
Mayi Mayi Militia (Bakata Katanga),Military Forces of Democratic Republic of Congo (2001-),7
Mayi Mayi Militia (Mazembe),NDC: Nduma Defence of Congo,1
Mayi Mayi Militia (Simba),Police Forces of Democratic Republic of Congo (2001-) Okapi National Park,10
Batwa Ethnic Militia (Democratic Republic of Congo),Luba Ethnic Militia (Democratic Republic of Congo),3
Batwa Ethnic Militia (Democratic Republic of Congo),Military Forces of Democratic Republic of Congo (2001-),11
Batwa Ethnic Militia (Democratic Republic of Congo),Bafulero Ethnic Militia (Democratic Republic of Congo),1
NDC-G: Nduma Defence of Congo (Guidon),NDC-C: Nduma Defense of Congo (Cheka),4
Mayi Mayi Militia (Simba),Military Forces of Democratic Republic of Congo (2001-),5
NDC: Nduma Defence of Congo,MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-),1
Rioters (Egypt),Rioters (Egypt),5
Police Forces of Egypt (2014-),Civilians (Egypt),1
Military Forces of Egypt (2014-),Civilians (Egypt),1
Police Forces of Egypt (2014-),Protesters (Egypt),1
Police Forces of Egypt (2014-),Unidentified Armed Group (Egypt),3
Police Forces of Egypt (2014-),Hasam Movement,1
Military Forces of Egypt (2014-),State of Sinai,1
Police Forces of Egypt (2014-),State of Sinai,4
Police Forces of Egypt (2014-),Islamist Militia (Egypt),7
Unidentified Armed Group (Egypt),Civilians (Egypt),2
Military Forces of Egypt (2014-) Special Forces,State of Sinai,8
Military Forces of Egypt (2014-) Special Forces,Unidentified Armed Group (Egypt),1
State of Sinai,Civilians (Egypt),1
Military Forces of Egypt (2014-),Unidentified Armed Group (Egypt),3
Military Forces of Israel,Civilians (International),4
Islamist Militia (Egypt),Civilians (Egypt),14
State of Sinai,Military Forces of Israel,5
State of Sinai,Civilians (International),1
Military Forces of Egypt (2014-),Islamist Militia (Egypt),1
Police Forces of Egypt (2014-),Rioters (Egypt),8
Police Forces of Egypt (2014-),Lewaa El-Thawra,4
Protesters (Egypt),Police Forces of Egypt (2014-),3
Rioters (Egypt),Police Forces of Egypt (2014-),1
Police Forces of Egypt (2014-),Muslim Brotherhood,1
Lewaa El-Thawra,Police Forces of Egypt (2014-),28
Islamic State (Egypt),Civilians (Egypt),9
Unidentified Armed Group (Egypt),Military Forces of Egypt (2014-),6
State of Sinai,Bedouin Ethnic Militia (Egypt),10
State of Sinai,El-Fawkhriya Ethnic Militia (Egypt),12
State of Sinai,Police Forces of Egypt (2014-),37
Tarabeen Ethnic Militia (Egypt),State of Sinai,4
State of Sinai,Military Forces of Egypt (2014-),1
Unidentified Armed Group (Egypt),Police Forces of Egypt (2014-),20
Government of Egypt (2014-),Muslim Brotherhood,7
Farghal Clan Militia (Egypt),Saeed Clan Militia (Egypt),10
Hasam Movement,Police Forces of Egypt (2014-),4
Government of Egypt (2014-),Civilians (Egypt),1
Police Forces of Egypt (2014-),Civilians (International),19
Unidentified Armed Group (Egypt),Civilians (International),18
Unidentified Armed Group (Egypt),Private Security Forces (Egypt),3
Military Forces of Egypt (2014-),Hasam Movement,28
Military Forces of Egypt (2014-),Muslim Brotherhood,8
Government of Djibouti (1999-),Military Forces of Eritrea (1993-),5
Military Forces of Ethiopia (1991-),Civilians (Ethiopia),1
Prison Guards (Ethiopia),Civilians (Ethiopia),9
Military Forces of Ethiopia (1991-),Mekan Ethnic Militia (Ethiopia),1
Unidentified Armed Group (Ethiopia),Civilians (Ethiopia),2
