,EVENT_TYPE,EVENT_DATE,counts
92,NON-VIOLENT TRANSFER OF TERRITORY,2005,8
93,NON-VIOLENT TRANSFER OF TERRITORY,2006,42
94,NON-VIOLENT TRANSFER OF TERRITORY,2007,20
95,NON-VIOLENT TRANSFER OF TERRITORY,2008,55
96,NON-VIOLENT TRANSFER OF TERRITORY,2009,41
97,NON-VIOLENT TRANSFER OF TERRITORY,2010,20
98,NON-VIOLENT TRANSFER OF TERRITORY,2011,62
99,NON-VIOLENT TRANSFER OF TERRITORY,2012,93
100,NON-VIOLENT TRANSFER OF TERRITORY,2013,70
101,NON-VIOLENT TRANSFER OF TERRITORY,2014,152
102,NON-VIOLENT TRANSFER OF TERRITORY,2015,127
103,NON-VIOLENT TRANSFER OF TERRITORY,2016,309
104,NON-VIOLENT TRANSFER OF TERRITORY,2017,59
105,REMOTE VIOLENCE,1997,108
106,REMOTE VIOLENCE,1998,120
107,REMOTE VIOLENCE,1999,174
108,REMOTE VIOLENCE,2000,191
109,REMOTE VIOLENCE,2001,110
110,REMOTE VIOLENCE,2002,157
111,REMOTE VIOLENCE,2003,200
112,REMOTE VIOLENCE,2004,168
113,REMOTE VIOLENCE,2005,54
114,REMOTE VIOLENCE,2006,96
115,REMOTE VIOLENCE,2007,326
116,REMOTE VIOLENCE,2008,297
117,REMOTE VIOLENCE,2009,194
118,REMOTE VIOLENCE,2010,303
119,REMOTE VIOLENCE,2011,610
120,REMOTE VIOLENCE,2012,791
121,REMOTE VIOLENCE,2013,855
122,REMOTE VIOLENCE,2014,1259
123,REMOTE VIOLENCE,2015,1264
124,REMOTE VIOLENCE,2016,2491
125,REMOTE VIOLENCE,2017,718
126,RIOTS/PROTESTS,1997,403
127,RIOTS/PROTESTS,1998,439
128,RIOTS/PROTESTS,1999,421
129,RIOTS/PROTESTS,2000,466
130,RIOTS/PROTESTS,2001,489
131,RIOTS/PROTESTS,2002,544
132,RIOTS/PROTESTS,2003,512
133,RIOTS/PROTESTS,2004,546
134,RIOTS/PROTESTS,2005,738
135,RIOTS/PROTESTS,2006,510
136,RIOTS/PROTESTS,2007,750
137,RIOTS/PROTESTS,2008,791
138,RIOTS/PROTESTS,2009,963
139,RIOTS/PROTESTS,2010,1009
140,RIOTS/PROTESTS,2011,2759
141,RIOTS/PROTESTS,2012,3355
142,RIOTS/PROTESTS,2013,5360
143,RIOTS/PROTESTS,2014,5403
144,RIOTS/PROTESTS,2015,6244
145,RIOTS/PROTESTS,2016,12145
146,RIOTS/PROTESTS,2017,3377
147,STRATEGIC DEVELOPMENT,1997,328
148,STRATEGIC DEVELOPMENT,1998,371
149,STRATEGIC DEVELOPMENT,1999,356
150,STRATEGIC DEVELOPMENT,2000,177
151,STRATEGIC DEVELOPMENT,2001,216
152,STRATEGIC DEVELOPMENT,2002,138
153,STRATEGIC DEVELOPMENT,2003,111
154,STRATEGIC DEVELOPMENT,2004,131
155,STRATEGIC DEVELOPMENT,2005,139
156,STRATEGIC DEVELOPMENT,2006,120
157,STRATEGIC DEVELOPMENT,2007,112
158,STRATEGIC DEVELOPMENT,2008,190
159,STRATEGIC DEVELOPMENT,2009,271
160,STRATEGIC DEVELOPMENT,2010,298
161,STRATEGIC DEVELOPMENT,2011,577
162,STRATEGIC DEVELOPMENT,2012,1218
163,STRATEGIC DEVELOPMENT,2013,932
164,STRATEGIC DEVELOPMENT,2014,1007
165,STRATEGIC DEVELOPMENT,2015,1383
166,STRATEGIC DEVELOPMENT,2016,2369
167,STRATEGIC DEVELOPMENT,2017,487
168,VIOLENCE AGAINST CIVILIANS,1997,958
169,VIOLENCE AGAINST CIVILIANS,1998,1274
170,VIOLENCE AGAINST CIVILIANS,1999,987
171,VIOLENCE AGAINST CIVILIANS,2000,1278
172,VIOLENCE AGAINST CIVILIANS,2001,1218
173,VIOLENCE AGAINST CIVILIANS,2002,1805
174,VIOLENCE AGAINST CIVILIANS,2003,1519
175,VIOLENCE AGAINST CIVILIANS,2004,1351
176,VIOLENCE AGAINST CIVILIANS,2005,1132
177,VIOLENCE AGAINST CIVILIANS,2006,879
178,VIOLENCE AGAINST CIVILIANS,2007,1228
179,VIOLENCE AGAINST CIVILIANS,2008,1916
180,VIOLENCE AGAINST CIVILIANS,2009,1282
181,VIOLENCE AGAINST CIVILIANS,2010,1403
182,VIOLENCE AGAINST CIVILIANS,2011,1800
183,VIOLENCE AGAINST CIVILIANS,2012,2597
184,VIOLENCE AGAINST CIVILIANS,2013,3560
185,VIOLENCE AGAINST CIVILIANS,2014,4399
186,VIOLENCE AGAINST CIVILIANS,2015,4423
187,VIOLENCE AGAINST CIVILIANS,2016,7666
188,VIOLENCE AGAINST CIVILIANS,2017,2367
